"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2019","56.57","56.36","56.61","56.29","122.20K","0.27%"
"30-12-2019","56.42","56.85","56.85","56.27","133.90K","-0.58%"
"27-12-2019","56.75","56.79","56.90","56.67","79.38K","-0.04%"
"26-12-2019","56.77","56.65","56.77","56.58","60.72K","0.51%"
"24-12-2019","56.48","56.40","56.73","56.40","24.03K","0.05%"
"23-12-2019","56.45","56.70","56.70","56.43","97.20K","-0.02%"
"20-12-2019","56.46","56.54","56.54","56.33","124.89K","0.12%"
"19-12-2019","56.39","56.30","56.40","56.16","110.75K","0.46%"
"18-12-2019","56.13","56.23","56.24","56.11","83.69K","0.04%"
"17-12-2019","56.11","56.31","56.31","56.09","217.19K","0.00%"
"16-12-2019","56.11","56.17","56.24","56.04","115.85K","0.75%"
"13-12-2019","55.69","55.73","55.90","55.49","103.34K","0.07%"
"12-12-2019","55.65","55.24","55.76","55.09","158.26K","0.83%"
"11-12-2019","55.19","55.24","55.24","55.04","127.50K","0.29%"
"10-12-2019","55.03","55.24","55.24","54.98","230.81K","-0.16%"
"09-12-2019","55.12","55.34","55.35","55.11","135.89K","-0.33%"
"06-12-2019","55.30","55.35","55.40","55.24","59.63K","0.82%"
"05-12-2019","54.85","54.93","54.93","54.66","43.56K","0.18%"
"04-12-2019","54.75","54.75","54.85","54.59","46.35K","0.61%"
"03-12-2019","54.42","54.26","54.44","54.00","153.38K","-0.62%"
"02-12-2019","54.76","55.43","55.43","54.69","71.09K","-0.92%"
"29-11-2019","55.27","55.51","55.51","55.22","90.32K","-0.41%"
"27-11-2019","55.50","55.45","55.50","55.30","96.30K","0.49%"
"26-11-2019","55.23","55.17","55.27","55.04","83.86K","0.29%"
"25-11-2019","55.07","54.79","55.07","54.73","148.75K","0.99%"
"22-11-2019","54.53","54.57","54.57","54.30","118.90K","0.20%"
"21-11-2019","54.42","54.71","54.71","54.30","101.57K","-0.27%"
"20-11-2019","54.57","54.75","54.76","54.27","80.58K","-0.38%"
"19-11-2019","54.78","54.94","54.94","54.63","115.50K","0.09%"
"18-11-2019","54.73","54.66","54.77","54.52","93.51K","0.13%"
"15-11-2019","54.66","54.61","54.66","54.41","60.41K","0.70%"
"14-11-2019","54.28","54.17","54.34","54.03","256.24K","0.15%"
"13-11-2019","54.20","54.10","54.25","54.00","53.71K","0.09%"
